,Ticker,2018-03-23,Name,Sector
0,XL,62.64,Xilinx Inc,Information Technology
1,NFLX,49.67,Netflix Inc.,Information Technology
2,CSRA,36.14,CSRA Inc.,Information Technology
3,STX,31.1,Seagate Technology,Information Technology
4,AMZN,25.78,Amazon.com Inc,Consumer Discretionary
5,MU,24.14,Micron Technology,Information Technology
6,DPS,23.81,Dr Pepper Snapple Group,Consumer Staples
7,RHT,22.19,Red Hat Inc.,Information Technology
8,EW,21.28,Edwards Lifesciences,Health Care
9,ADBE,21.0,Adobe Systems Inc,Information Technology
10,HPE,20.67,Hewlett Packard Enterprise,Information Technology
11,IDXX,20.59,IDEXX Laboratories,Health Care
12,ADSK,19.51,Autodesk Inc,Information Technology
13,NVDA,16.86,Nvidia Corporation,Information Technology
14,RTN,15.19,Raytheon Co.,Industrials
15,MSI,15.16,Motorola Solutions Inc.,Information Technology
16,TRIP,15.16,TripAdvisor,Consumer Discretionary
17,GWW,14.57,Grainger (W.W.) Inc.,Industrials
18,WDC,13.47,Western Digital,Information Technology
19,NOC,13.28,Northrop Grumman Corp.,Industrials
20,MA,13.11,Applied Materials Inc,Information Technology
21,EL,12.7,Celgene Corp.,Health Care
22,APC,12.4,Anadarko Petroleum Corp,Energy
23,CTSH,11.71,Cognizant Technology Solutions,Information Technology
24,GPN,11.67,Global Payments Inc,Information Technology
25,EA,10.95,Electronic Arts,Information Technology
26,SPGI,10.93,"S&P Global, Inc.",Financials
27,HRS,10.64,Harris Corporation,Information Technology
28,HCA,10.36,HCA Holdings,Health Care
29,TDG,10.07,TransDigm Group,Industrials
30,NTAP,10.04,NetApp,Information Technology
31,CMG,10.02,Chipotle Mexican Grill,Consumer Discretionary
32,KSS,9.99,Kohl's Corp.,Consumer Discretionary
33,CRM,9.6,Salesforce.com,Information Technology
34,FE,9.47,FirstEnergy Corp,Utilities
35,CME,9.21,CME Group Inc.,Financials
36,VRSN,9.16,Verisign Inc.,Information Technology
37,CSCO,9.16,Cisco Systems,Information Technology
38,GD,9.14,General Dynamics,Industrials
39,EMN,9.05,Eastman Chemical,Materials
40,FFIV,9.0,F5 Networks,Information Technology
41,TSS,8.79,Total System Services,Information Technology
42,IPG,8.79,Interpublic Group,Consumer Discretionary
43,MCO,8.41,Moody's Corp,Financials
44,BA,8.14,Bank of America Corp,Financials
45,PGR,7.8,Progressive Corp.,Financials
46,EVHC,7.76,Envision Healthcare,Health Care
47,VAR,7.63,Varian Medical Systems,Health Care
48,AJG,7.27,Arthur J. Gallagher & Co.,Financials
49,WYNN,7.07,Wynn Resorts Ltd,Consumer Discretionary
50,AKAM,7.06,Akamai Technologies Inc,Information Technology
51,LRCX,7.05,Lam Research,Information Technology
52,INTU,7.02,Intuit Inc.,Information Technology
53,CTAS,7.01,Cintas Corporation,Industrials
54,ETFC,6.56,E*Trade,Financials
55,VRSK,6.55,Verisk Analytics,Industrials
56,ISRG,6.37,Intuitive Surgical Inc.,Health Care
57,MPC,6.1,Marathon Petroleum,Energy
58,TMO,6.05,Thermo Fisher Scientific,Health Care
59,CMA,5.91,Comerica Inc.,Financials
60,XLNX,5.88,Xilinx Inc,Information Technology
61,ATVI,5.8,Activision Blizzard,Information Technology
62,LMT,5.58,Lockheed Martin Corp.,Industrials
63,ROP,5.46,Roper Industries,Industrials
64,INTC,5.4,Intel Corp.,Information Technology
65,VRTX,5.25,Vertex Pharmaceuticals Inc,Health Care
66,NDAQ,5.19,NASDAQ OMX Group,Financials
67,ILMN,5.06,Illumina Inc,Health Care
68,FTV,5.03,Fortive Corp,Industrials
69,UAA,4.99,Under Armour,Consumer Discretionary
70,ADM,4.89,Archer-Daniels-Midland Co,Consumer Staples
71,UHS,4.82,"Universal Health Services, Inc.",Health Care
72,FLR,4.82,Fluor Corp.,Industrials
73,AAP,4.48,Advance Auto Parts,Consumer Discretionary
74,MKC,4.44,McCormick & Co.,Consumer Staples
75,FLIR,4.42,FLIR Systems,Information Technology
76,AMAT,4.39,Applied Materials Inc,Information Technology
77,COP,4.37,ConocoPhillips,Energy
78,EBAY,4.34,eBay Inc.,Information Technology
79,AON,4.32,Aon plc,Financials
80,TJX,4.16,TJX Companies Inc.,Consumer Discretionary
81,BSX,4.03,Boston Scientific,Health Care
82,MCHP,3.98,Microchip Technology,Information Technology
83,HUM,3.96,Humana Inc.,Health Care
84,QRVO,3.88,Qorvo,Information Technology
85,OKE,3.84,ONEOK,Energy
86,ALLE,3.82,Allegion,Industrials
87,DHR,3.79,Danaher Corp.,Health Care
88,MTB,3.69,M&T Bank Corp.,Financials
