,Ticker,2018-03-23
0,NVDA,113.36
1,NFLX,103.26
2,MU,87.12
3,BA,83.85
4,PYPL,75.56
5,RHT,72.14
6,AMZN,70.66
7,EL,69.66
8,ADBE,65.9
9,NRG,62.84
10,TSS,60.89
11,KORS,60.37
12,KSS,59.46
13,LRCX,58.74
14,CAT,58.11
15,ISRG,56.27
16,TROW,55.66
17,WYNN,55.6
18,MA,53.32
19,ABBV,52.77
20,ETFC,52.21
21,PGR,51.17
22,VRTX,50.0
23,ADSK,48.31
24,INTU,48.13
25,NTAP,48.02
26,NOC,45.74
27,SPGI,45.3
28,MPC,45.16
29,EW,44.17
30,MCO,43.18
31,AMAT,43.04
32,MAR,42.62
33,RTN,42.13
34,HRS,41.93
35,VLO,41.84
36,INTC,41.77
37,CNC,40.64
38,CSRA,40.43
39,CBOE,40.42
40,URI,40.28
41,XL,39.34
42,BBY,38.85
43,CRM,38.6
44,AME,38.43
45,GPN,37.8
46,BLK,37.69
47,TDG,37.62
48,COL,37.53
49,VRSN,37.03
50,DE,36.89
51,STZ,36.76
52,ILMN,35.92
53,ABT,35.76
54,VFC,35.72
55,ATVI,35.56
56,FLIR,35.56
57,PVH,35.11
58,MSFT,34.81
59,CTSH,34.67
60,EA,34.54
61,CME,34.48
62,AET,33.83
63,CMA,33.69
64,CTAS,33.66
65,WYN,33.64
66,TMO,33.19
67,RL,32.38
68,ROP,32.12
69,V,31.89
70,FCX,31.63
71,VAR,31.02
72,TEL,30.68
73,GPS,30.55
74,AVY,30.48
75,DHI,30.28
76,ANTM,29.97
77,UNH,29.85
78,JBHT,29.34
79,CSCO,29.11
80,MCHP,28.9
81,DG,28.46
82,EMN,28.32
83,PKI,28.25
84,FTV,27.79
85,WAT,27.66
86,TXN,27.44
87,CF,27.04
88,HUM,26.88
89,VRSK,26.39
90,NEE,26.17
91,LMT,25.86
92,SHW,25.86
93,HPQ,25.57
94,LKQ,25.57
95,TGT,25.57
96,XLNX,25.54
97,SCHW,25.46
98,KSU,25.06
99,UNP,24.77
100,A,24.73
101,ACN,24.73
102,MSI,24.23
103,DOV,24.18
104,RF,24.16
105,BAX,23.7
106,STX,23.61
107,FMC,23.28
108,BAC,23.23
109,IDXX,23.16
110,STT,23.13
111,GOOG,22.86
112,DPS,22.7
113,PNC,22.45
114,JPM,22.24
115,LLL,22.09
116,FITB,21.96
117,MS,21.68
118,PX,21.62
119,MCD,21.29
120,PHM,21.1
121,PSX,20.9
122,WMT,20.86
123,GOOGL,20.84
124,MNST,20.75
125,PRGO,20.6
126,TXT,20.47
127,AAL,20.42
128,CXO,20.21
129,SYK,20.14
130,MAS,20.0
131,CFG,19.94
132,ITW,19.49
133,AMT,19.42
134,FIS,19.28
135,APH,19.22
136,PLD,19.15
137,AJG,19.08
138,STI,19.06
139,FDX,18.75
140,WRK,18.69
141,RCL,18.57
142,CHRW,18.52
143,MTD,18.42
144,NWSA,18.41
145,HD,18.29
146,ICE,18.21
147,NEM,18.1
148,APD,18.06
149,CCI,18.04
150,EBAY,17.83
151,DAL,17.73
152,NWS,17.65
153,NDAQ,17.55
154,COP,17.46
155,NSC,17.46
156,GD,17.38
157,GWW,17.17
158,LYB,16.99
159,TSN,16.93
160,AON,16.72
161,BWA,16.6
162,WLTW,16.32
163,GRMN,16.24
164,SYY,16.23
165,NKE,16.12
166,AKAM,15.96
167,RHI,15.91
168,DLTR,15.75
169,AXP,15.53
170,AAPL,15.53
171,CSX,15.53
172,BDX,15.49
173,HON,15.39
174,BF_B,15.32
175,NTRS,15.1
176,SWK,15.07
177,BRK_B,15.0
178,WM,14.97
179,EMR,14.83
180,KLAC,14.46
181,MTB,14.43
182,EXR,14.43
183,BBT,14.41
184,BMY,14.4
185,ALL,13.94
186,AMP,13.7
187,C,13.53
